pair	exposure	outcome	status	n_ivs	method	beta	se	p
Longchamps_2022__PPD	Longchamps_2022	PPD	OK	84	Robust adjusted profile score (RAPS)	0.0260475880923411	0.0811693345621034	0.748282918917864
Longchamps_2022__ADR_PercImp	Longchamps_2022	ADR_PercImp	OK	52	Inverse variance weighted	-0.134456430810561	0.13163584997245	0.307052108597188
Longchamps_2022__ADR_PercImp	Longchamps_2022	ADR_PercImp	OK	52	MR Egger	-0.321715120180674	0.26883609603276	0.237302366368408
Longchamps_2022__ADR_PercImp	Longchamps_2022	ADR_PercImp	OK	52	Weighted median	-0.208032744292734	0.182439603717227	0.254168496356759
Longchamps_2022__ADR_PercImp	Longchamps_2022	ADR_PercImp	OK	52	Robust adjusted profile score (RAPS)	-0.134654226940996	0.135309199957839	0.319658727655299
Longchamps_2022__ADR_NonRem	Longchamps_2022	ADR_NonRem	OK	44	Inverse variance weighted	0.137993086421225	0.326021616880305	0.672102941526114
Longchamps_2022__ADR_NonRem	Longchamps_2022	ADR_NonRem	OK	44	MR Egger	0.206930989728389	0.672263279842254	0.759822211861174
Longchamps_2022__ADR_NonRem	Longchamps_2022	ADR_NonRem	OK	44	Weighted median	0.0473453787411308	0.440707841707449	0.914447612105023
Longchamps_2022__ADR_NonRem	Longchamps_2022	ADR_NonRem	OK	44	Robust adjusted profile score (RAPS)	0.138138437565351	0.334931391762382	0.680018406258626
Longchamps_2022__BD_noUKBB	Longchamps_2022	BD_noUKBB	OK	78	Inverse variance weighted	0.126810181633996	0.0558652276841669	0.0232118030116802
Longchamps_2022__BD_noUKBB	Longchamps_2022	BD_noUKBB	OK	78	MR Egger	0.171039555325039	0.112878600321497	0.133968596922882
Longchamps_2022__BD_noUKBB	Longchamps_2022	BD_noUKBB	OK	78	Weighted median	0.114227262647534	0.0856740705455818	0.182440938169782
Longchamps_2022__BD_noUKBB	Longchamps_2022	BD_noUKBB	OK	78	Robust adjusted profile score (RAPS)	0.138372427541419	0.0627240157494612	0.0273803733476648
Longchamps_2022__MDD_noUKBB	Longchamps_2022	MDD_noUKBB	OK	85	Inverse variance weighted	0.0440393832045145	0.0537309369593413	0.412428176780837
Longchamps_2022__MDD_noUKBB	Longchamps_2022	MDD_noUKBB	OK	85	MR Egger	0.0281687044968664	0.107155607168068	0.793321492366606
Longchamps_2022__MDD_noUKBB	Longchamps_2022	MDD_noUKBB	OK	85	Weighted median	0.00272155800091802	0.0845573583213395	0.974323769196832
Longchamps_2022__MDD_noUKBB	Longchamps_2022	MDD_noUKBB	OK	85	Robust adjusted profile score (RAPS)	0.0429151843980485	0.0565049977998405	0.447557338963368
Longchamps_2022__BPD_noUKBB	Longchamps_2022	BPD_noUKBB	OK	59	Inverse variance weighted	-0.0324996140441695	0.0978692243796089	0.739835008353066
Longchamps_2022__BPD_noUKBB	Longchamps_2022	BPD_noUKBB	OK	59	MR Egger	0.0243157588738505	0.200984355694157	0.904145145213393
Longchamps_2022__BPD_noUKBB	Longchamps_2022	BPD_noUKBB	OK	59	Weighted median	-0.0486802681173629	0.160570554072813	0.761759867812391
Longchamps_2022__BPD_noUKBB	Longchamps_2022	BPD_noUKBB	OK	59	Robust adjusted profile score (RAPS)	-0.0667441432444818	0.101348967532886	0.51017983159068
Longchamps_2022__PFactor	Longchamps_2022	PFactor	OK	33	Inverse variance weighted	0.0125119881630897	0.0164017483883518	0.445555970767086
Longchamps_2022__PFactor	Longchamps_2022	PFactor	OK	33	MR Egger	8.92032876827483e-05	0.0350278520094291	0.997984396222481
Longchamps_2022__PFactor	Longchamps_2022	PFactor	OK	33	Weighted median	0.00861870347171867	0.0168850876872643	0.609748245893125
Longchamps_2022__PFactor	Longchamps_2022	PFactor	OK	33	Robust adjusted profile score (RAPS)	0.0100420720332503	0.0168519302472565	0.551241763696485
Longchamps_2022__F1	Longchamps_2022	F1	OK	33	Inverse variance weighted	0.0123282076527551	0.0522023439863867	0.813306999481073
Longchamps_2022__F1	Longchamps_2022	F1	OK	33	MR Egger	-0.138833712005846	0.113271829773847	0.229553804645898
Longchamps_2022__F1	Longchamps_2022	F1	OK	33	Weighted median	-0.0648475227730401	0.0760758212245546	0.393988526370309
Longchamps_2022__F1	Longchamps_2022	F1	OK	33	Robust adjusted profile score (RAPS)	0.0159667049709538	0.0539597107451729	0.767306075134236
Longchamps_2022__F2	Longchamps_2022	F2	OK	33	Inverse variance weighted	0.0480892038175737	0.0476680925041148	0.313054137589075
Longchamps_2022__F2	Longchamps_2022	F2	OK	33	MR Egger	-0.0939939408337514	0.101291147637645	0.360598579087013
