pair	exposure_role	outcome_role	threshold_used	status	n_iv	n_iv_pre_steiger	mean_F	method	b	se	p	q_pval	egger_intercept	egger_intercept_p	presso_global_p	presso_corrected_b	presso_corrected_p	steiger_passes	FLAG_REVERSE_HIT
REV_BD__Gupta_2023_raw	BD	Gupta_2023_raw	5e-08	OK	62	62	38.2	MR Egger	-0.0265416758363677	0.0762877820113247	0.729335839690483	2.26547810122135e-05	0.00172768110029273	0.678724045099993	2e-04	0.00220415553802703	0.845390888071573	1	FALSE
REV_BD__Gupta_2023_raw	BD	Gupta_2023_raw	5e-08	OK	62	62	38.2	Weighted median	0.000252100064123113	0.0163081236048791	0.987666346977577		0.00172768110029273	0.678724045099993	2e-04	0.00220415553802703	0.845390888071573	1	FALSE
REV_BD__Gupta_2023_raw	BD	Gupta_2023_raw	5e-08	OK	62	62	38.2	Robust adjusted profile score (RAPS)	-0.00400025064923714	0.014504776988551	0.78271051905403		0.00172768110029273	0.678724045099993	2e-04	0.00220415553802703	0.845390888071573	1	FALSE
REV_BD__Gupta_2023_adj	BD	Gupta_2023_adj	5e-08	OK	62	62	38.2	Inverse variance weighted	-0.000526202803883168	0.0107970265245806	0.961129765876278	0.238353033940712	0.00169484276265931	0.593215289198522	0.2794			1	FALSE
REV_BD__Gupta_2023_adj	BD	Gupta_2023_adj	5e-08	OK	62	62	38.2	MR Egger	-0.0311502903910231	0.0579962114969624	0.593528011248088	0.218113853591596	0.00169484276265931	0.593215289198522	0.2794			1	FALSE
REV_BD__Gupta_2023_adj	BD	Gupta_2023_adj	5e-08	OK	62	62	38.2	Weighted median	0.00357715597211693	0.0140283912316163	0.798727712564153		0.00169484276265931	0.593215289198522	0.2794			1	FALSE
REV_BD__Gupta_2023_adj	BD	Gupta_2023_adj	5e-08	OK	62	62	38.2	Robust adjusted profile score (RAPS)	-0.00523682780906477	0.0115198204390158	0.649402191829135		0.00169484276265931	0.593215289198522	0.2794			1	FALSE
REV_MDD__Longchamps_2022	MDD	Longchamps_2022	5e-08	OK	195	195	44	Inverse variance weighted	0.0135312548263677	0.00998791290158948	0.175493079124618	4.4304225362569e-07	-0.000583610287993604	0.557329271437167		0.014810149989408	0.118632246946899	1	FALSE
REV_MDD__Longchamps_2022	MDD	Longchamps_2022	5e-08	OK	195	195	44	MR Egger	0.0404841928187261	0.0469299285473671	0.389399528638073	3.87077581482263e-07	-0.000583610287993604	0.557329271437167		0.014810149989408	0.118632246946899	1	FALSE
REV_MDD__Longchamps_2022	MDD	Longchamps_2022	5e-08	OK	195	195	44	Weighted median	0.0133818278122559	0.012084378043479	0.268135775598463		-0.000583610287993604	0.557329271437167		0.014810149989408	0.118632246946899	1	FALSE
REV_MDD__Longchamps_2022	MDD	Longchamps_2022	5e-08	OK	195	195	44	Robust adjusted profile score (RAPS)	0.0155137873695943	0.00999721137667242	0.120707338563007		-0.000583610287993604	0.557329271437167		0.014810149989408	0.118632246946899	1	FALSE
REV_MDD__Chong_2022	MDD	Chong_2022	5e-08	OK	196	196	44.1	Inverse variance weighted	0.00929444423448054	0.00953237010585511	0.329540310279965	0.00249286456984695	0.000305525841633749	0.751013522324685	0.0038			1	FALSE
REV_MDD__Chong_2022	MDD	Chong_2022	5e-08	OK	196	196	44.1	MR Egger	-0.0049261885060372	0.0457573334653003	0.914386773164271	0.00216913382151132	0.000305525841633749	0.751013522324685	0.0038			1	FALSE
REV_MDD__Chong_2022	MDD	Chong_2022	5e-08	OK	196	196	44.1	Weighted median	0.00548769272429152	0.0123639709868379	0.657154299134544		0.000305525841633749	0.751013522324685	0.0038			1	FALSE
REV_MDD__Chong_2022	MDD	Chong_2022	5e-08	OK	196	196	44.1	Robust adjusted profile score (RAPS)	0.00808670956540768	0.00973796477760366	0.406295043776326		0.000305525841633749	0.751013522324685	0.0038			1	FALSE
REV_MDD__Gupta_2023_raw	MDD	Gupta_2023_raw	5e-08	OK	176	179	44.3	Inverse variance weighted	-0.0379219443460096	0.0163518050984882	0.0203880462735578	0.000559699647621314	-0.00159340023498562	0.340722675809404	8e-04			0.983240223463687	FALSE
REV_MDD__Gupta_2023_raw	MDD	Gupta_2023_raw	5e-08	OK	176	179	44.3	MR Egger	0.0360721022860185	0.0791598797170315	0.649183470779962	0.000567488833207945	-0.00159340023498562	0.340722675809404	8e-04			0.983240223463687	FALSE
REV_MDD__Gupta_2023_raw	MDD	Gupta_2023_raw	5e-08	OK	176	179	44.3	Weighted median	-0.0322136374512107	0.020823684865299	0.121870228876979		-0.00159340023498562	0.340722675809404	8e-04			0.983240223463687	FALSE
REV_MDD__Gupta_2023_raw	MDD	Gupta_2023_raw	5e-08	OK	176	179	44.3	Robust adjusted profile score (RAPS)	-0.0403031240862234	0.0170708778590454	0.0182292390366539		-0.00159340023498562	0.340722675809404	8e-04			0.983240223463687	FALSE
REV_MDD__Gupta_2023_adj	MDD	Gupta_2023_adj	5e-08	OK	179	179	44.1	Inverse variance weighted	-0.00479192216588593	0.0160616048576867	0.765438785266116	0.00202756430652868	-0.00186378558671325	0.25500788874173	0.0028			1	FALSE
REV_MDD__Gupta_2023_adj	MDD	Gupta_2023_adj	5e-08	OK	179	179	44.1	MR Egger	0.0820145759670609	0.0776900363585305	0.292560525229019	0.00219799087272982	-0.00186378558671325	0.25500788874173	0.0028			1	FALSE
REV_MDD__Gupta_2023_adj	MDD	Gupta_2023_adj	5e-08	OK	179	179	44.1	Weighted median	0.00325752187144376	0.0210056352354628	0.876759451615064		-0.00186378558671325	0.25500788874173	0.0028			1	FALSE
REV_MDD__Gupta_2023_adj	MDD	Gupta_2023_adj	5e-08	OK	179	179	44.1	Robust adjusted profile score (RAPS)	-0.00324053385466087	0.0166208294066682	0.845417811369673		-0.00186378558671325	0.25500788874173	0.0028			1	FALSE
REV_ADHD__Longchamps_2022	ADHD	Longchamps_2022	5e-08	OK	26	26	38.7	Inverse variance weighted	0.0131750684681191	0.0104275595202316	0.206414815891327	0.000258283978558822	-0.00139658444396935	0.646240542816977	0.000769230769230769	0.00385669338023126	0.65807104928149	1	FALSE
