tissue	gene_id	outcome	n_snps	PP0	PP1	PP2	PP3	PP4
Brain_Amygdala	ENSG00000286781.1	ASD	168	0.0971917661960231	0.893269236690373	0.000141125771408986	0.00128894858569119	0.00810892275650314
Brain_Amygdala	ENSG00000286781.1	ADHD	139	0.11038238739685	0.882680060067165	0.000114651538711135	0.000910906616476907	0.00591199438079658
Brain_Amygdala	ENSG00000286781.1	F3	96	0.162606577760635	0.826595306540301	0.000167019638226321	0.000839236826808201	0.009791859234029
Brain_Amygdala	ENSG00000223797.7	ASD	222	0.037838680531103	0.953246125004983	6.56410744468068e-05	0.00164645127957894	0.00720310210988853
Brain_Amygdala	ENSG00000223797.7	ADHD	200	0.041443745629785	0.952633608314703	4.26603910109352e-05	0.00097569535393723	0.00490429031056428
Brain_Amygdala	ENSG00000223797.7	F3	152	0.0491130406773295	0.946914487650429	2.78327813344629e-05	0.000533213134925616	0.00341142575598083
Brain_Amygdala	ENSG00000168036.18	ASD	136	7.11024552754366e-07	0.95419769941175	2.50816767273301e-09	0.00332349262175267	0.0424780944337761
Brain_Amygdala	ENSG00000168036.18	ADHD	126	1.81306212514658e-07	0.21533927584929	4.12871756137648e-08	0.0483008485883747	0.736359652968947
Brain_Amygdala	ENSG00000168036.18	F3	50	1.8288480675464e-06	0.681134186703195	2.61928241376598e-08	0.00944580880628108	0.309418149449632
Brain_Amygdala	ENSG00000168038.11	ASD	833	2.5062012743379e-10	0.981384527289957	2.38587948740726e-12	0.00933340415924211	0.00928206829779459
Brain_Amygdala	ENSG00000168038.11	ADHD	673	2.84041136685519e-10	0.98754160817211	1.47801556276428e-12	0.00513137184197772	0.00732701970039416
Brain_Amygdala	ENSG00000168038.11	F3	542	3.44381903566001e-10	0.993343304674463	8.74653048647211e-13	0.0025187319694399	0.00413796301083991
Brain_Amygdala	ENSG00000114857.19	ASD	52	0.00128754470448502	0.99084066481673	5.2900650886623e-07	0.000399629697687243	0.00747163177458896
