section	exposure	outcome	n_iv	mean_F	min_F	max_F
PAIR_MEAN_F	Gupta_2023_raw	BD_noUKBB	62	74.8901351962738	30.034974886244	389.849120545312
PAIR_MEAN_F	Gupta_2023_raw	BMI	20	114.68439981354	30.9160102549841	389.849120545312
PAIR_MEAN_F	Gupta_2023_raw	BPD	47	80.5802705105819	30.034974886244	389.849120545312
PAIR_MEAN_F	Gupta_2023_raw	BPD_noUKBB	46	81.0242811944335	30.034974886244	389.849120545312
PAIR_MEAN_F	Gupta_2023_raw	F1	28	79.0780855283399	30.0468685661594	294.470622931637
PAIR_MEAN_F	Gupta_2023_raw	F2	28	79.0780855283399	30.0468685661594	294.470622931637
PAIR_MEAN_F	Gupta_2023_raw	F3	28	79.0780855283399	30.0468685661594	294.470622931637
PAIR_MEAN_F	Gupta_2023_raw	F4	28	79.0780855283399	30.0468685661594	294.470622931637
PAIR_MEAN_F	Gupta_2023_raw	F5	28	79.0780855283399	30.0468685661594	294.470622931637
PAIR_MEAN_F	Gupta_2023_raw	Height	19	117.41373358946	30.9160102549841	389.849120545312
PAIR_MEAN_F	Gupta_2023_raw	MDD	53	79.3529904502642	30.0468685661594	389.849120545312
PAIR_MEAN_F	Gupta_2023_raw	MDD_noUKBB	64	73.6117611219541	30.034974886244	389.849120545312
PAIR_MEAN_F	Gupta_2023_raw	OCD	57	76.8596733053444	30.034974886244	389.849120545312
PAIR_MEAN_F	Gupta_2023_raw	PFactor	28	79.0780855283399	30.0468685661594	294.470622931637
PAIR_MEAN_F	Gupta_2023_raw	PPD	66	73.1997739771657	30.034974886244	389.849120545312
PAIR_MEAN_F	Gupta_2023_raw	PTSD	60	76.1151556990117	30.034974886244	389.849120545312
PAIR_MEAN_F	Gupta_2023_raw	SCZ	54	78.8975204342934	30.0468685661594	389.849120545312
PAIR_MEAN_F	Gupta_2023_raw	TS	53	79.6457620677985	30.0468685661594	389.849120545312
PAIR_MEAN_F	Longchamps_2022	ADHD	62	96.013094493679	29.3236699219519	634.237880576521
PAIR_MEAN_F	Longchamps_2022	ADR_NonRem	42	118.749178657758	30.7570992428033	634.237880576521
PAIR_MEAN_F	Longchamps_2022	ADR_PercImp	50	119.933793502868	30.1959436178061	634.237880576521
PAIR_MEAN_F	Longchamps_2022	AN	63	98.4352278912061	30.1959436178061	634.237880576521
PAIR_MEAN_F	Longchamps_2022	ANX	72	95.3320262252357	29.3236699219519	634.237880576521
PAIR_MEAN_F	Longchamps_2022	ASD	67	99.1864462551074	29.3236699219519	634.237880576521
PAIR_MEAN_F	Longchamps_2022	BD	69	97.0980773563387	29.3236699219519	634.237880576521
PAIR_MEAN_F	Longchamps_2022	BD_noUKBB	76	97.3547597423605	29.3236699219519	634.237880576521
PAIR_MEAN_F	Longchamps_2022	BMI	30	97.4025344130769	31.2735068098594	634.237880576521
PAIR_MEAN_F	Longchamps_2022	BPD	56	91.1525158843039	30.1959436178061	634.237880576521
PAIR_MEAN_F	Longchamps_2022	BPD_noUKBB	57	90.3700199090241	30.1959436178061	634.237880576521
PAIR_MEAN_F	Longchamps_2022	F1	33	96.8927414091073	29.3236699219519	577.999667232282
PAIR_MEAN_F	Longchamps_2022	F2	33	96.8927414091073	29.3236699219519	577.999667232282
PAIR_MEAN_F	Longchamps_2022	F3	33	96.8927414091073	29.3236699219519	577.999667232282
PAIR_MEAN_F	Longchamps_2022	F4	33	96.8927414091073	29.3236699219519	577.999667232282
PAIR_MEAN_F	Longchamps_2022	F5	33	96.8927414091073	29.3236699219519	577.999667232282
PAIR_MEAN_F	Longchamps_2022	Height	28	101.301166845206	31.2735068098594	634.237880576521
PAIR_MEAN_F	Longchamps_2022	MDD	67	97.1899719350249	29.3236699219519	634.237880576521
PAIR_MEAN_F	Longchamps_2022	MDD_noUKBB	82	92.20932897359	30.1959436178061	634.237880576521
PAIR_MEAN_F	Longchamps_2022	OCD	70	97.1778160226145	30.1959436178061	634.237880576521
PAIR_MEAN_F	Longchamps_2022	PFactor	33	96.8927414091073	29.3236699219519	577.999667232282
PAIR_MEAN_F	Longchamps_2022	PPD	82	92.4609575387858	29.3236699219519	634.237880576521
PAIR_MEAN_F	Longchamps_2022	PTSD	82	91.3748224230981	29.3236699219519	634.237880576521
PAIR_MEAN_F	Longchamps_2022	SCZ	69	97.793436597875	29.3236699219519	634.237880576521
PAIR_MEAN_F	Longchamps_2022	TS	61	102.628373804244	29.3236699219519	634.237880576521
