pair	exposure_role	outcome_role	threshold_used	status	n_iv	n_iv_pre_steiger	mean_F	method	beta	SE	p	q_pval	egger_intercept	egger_intercept_p	presso_global_p	presso_corrected_b	presso_corrected_p	steiger_passes	FLAG_REVERSE_HIT
REV_BD__Gupta_2023_adj	BD	Gupta_2023_adj	5e-08	OK	62	62	38.2	Inverse variance weighted	-5.26203e-04	0.01080	0.961	0.238	0.00169	0.593	0.279	NA	NA	1.000	FALSE
REV_BD__Gupta_2023_adj	BD	Gupta_2023_adj	5e-08	OK	62	62	38.2	MR Egger	-0.03115	0.05800	0.594	0.218	0.00169	0.593	0.279	NA	NA	1.000	FALSE
REV_BD__Gupta_2023_adj	BD	Gupta_2023_adj	5e-08	OK	62	62	38.2	Weighted median	0.00358	0.01403	0.799	NA	0.00169	0.593	0.279	NA	NA	1.000	FALSE
REV_BD__Gupta_2023_adj	BD	Gupta_2023_adj	5e-08	OK	62	62	38.2	Robust adjusted profile score (RAPS)	-0.00524	0.01152	0.649	NA	0.00169	0.593	0.279	NA	NA	1.000	FALSE
REV_MDD__Longchamps_2022	MDD	Longchamps_2022	5e-08	OK	195	195	44	Inverse variance weighted	0.01353	0.00999	0.175	4.43e-07	-5.83610e-04	0.557	NA	0.01481	0.119	1.000	FALSE
REV_MDD__Longchamps_2022	MDD	Longchamps_2022	5e-08	OK	195	195	44	MR Egger	0.04048	0.04693	0.389	3.87e-07	-5.83610e-04	0.557	NA	0.01481	0.119	1.000	FALSE
REV_MDD__Longchamps_2022	MDD	Longchamps_2022	5e-08	OK	195	195	44	Weighted median	0.01338	0.01208	0.268	NA	-5.83610e-04	0.557	NA	0.01481	0.119	1.000	FALSE
REV_MDD__Longchamps_2022	MDD	Longchamps_2022	5e-08	OK	195	195	44	Robust adjusted profile score (RAPS)	0.01551	0.01000	0.121	NA	-5.83610e-04	0.557	NA	0.01481	0.119	1.000	FALSE
REV_MDD__Chong_2022	MDD	Chong_2022	5e-08	OK	196	196	44.1	Inverse variance weighted	0.00929	0.00953	0.330	0.002	3.05526e-04	0.751	0.004	NA	NA	1.000	FALSE
REV_MDD__Chong_2022	MDD	Chong_2022	5e-08	OK	196	196	44.1	MR Egger	-0.00493	0.04576	0.914	0.002	3.05526e-04	0.751	0.004	NA	NA	1.000	FALSE
REV_MDD__Chong_2022	MDD	Chong_2022	5e-08	OK	196	196	44.1	Weighted median	0.00549	0.01236	0.657	NA	3.05526e-04	0.751	0.004	NA	NA	1.000	FALSE
REV_MDD__Chong_2022	MDD	Chong_2022	5e-08	OK	196	196	44.1	Robust adjusted profile score (RAPS)	0.00809	0.00974	0.406	NA	3.05526e-04	0.751	0.004	NA	NA	1.000	FALSE
REV_MDD__Gupta_2023_raw	MDD	Gupta_2023_raw	5e-08	OK	176	179	44.3	Inverse variance weighted	-0.03792	0.01635	0.020	5.60e-04	-0.00159	0.341	8.00e-04	NA	NA	0.983	FALSE
REV_MDD__Gupta_2023_raw	MDD	Gupta_2023_raw	5e-08	OK	176	179	44.3	MR Egger	0.03607	0.07916	0.649	5.67e-04	-0.00159	0.341	8.00e-04	NA	NA	0.983	FALSE
REV_MDD__Gupta_2023_raw	MDD	Gupta_2023_raw	5e-08	OK	176	179	44.3	Weighted median	-0.03221	0.02082	0.122	NA	-0.00159	0.341	8.00e-04	NA	NA	0.983	FALSE
REV_MDD__Gupta_2023_raw	MDD	Gupta_2023_raw	5e-08	OK	176	179	44.3	Robust adjusted profile score (RAPS)	-0.04030	0.01707	0.018	NA	-0.00159	0.341	8.00e-04	NA	NA	0.983	FALSE
REV_MDD__Gupta_2023_adj	MDD	Gupta_2023_adj	5e-08	OK	179	179	44.1	Inverse variance weighted	-0.00479	0.01606	0.765	0.002	-0.00186	0.255	0.003	NA	NA	1.000	FALSE
REV_MDD__Gupta_2023_adj	MDD	Gupta_2023_adj	5e-08	OK	179	179	44.1	MR Egger	0.08201	0.07769	0.293	0.002	-0.00186	0.255	0.003	NA	NA	1.000	FALSE
REV_MDD__Gupta_2023_adj	MDD	Gupta_2023_adj	5e-08	OK	179	179	44.1	Weighted median	0.00326	0.02101	0.877	NA	-0.00186	0.255	0.003	NA	NA	1.000	FALSE
REV_MDD__Gupta_2023_adj	MDD	Gupta_2023_adj	5e-08	OK	179	179	44.1	Robust adjusted profile score (RAPS)	-0.00324	0.01662	0.845	NA	-0.00186	0.255	0.003	NA	NA	1.000	FALSE
REV_ADHD__Longchamps_2022	ADHD	Longchamps_2022	5e-08	OK	26	26	38.7	Inverse variance weighted	0.01318	0.01043	0.206	2.58e-04	-0.00140	0.646	7.69e-04	0.00386	0.658	1.000	FALSE
REV_ADHD__Longchamps_2022	ADHD	Longchamps_2022	5e-08	OK	26	26	38.7	MR Egger	0.03336	0.04470	0.463	1.90e-04	-0.00140	0.646	7.69e-04	0.00386	0.658	1.000	FALSE
REV_ADHD__Longchamps_2022	ADHD	Longchamps_2022	5e-08	OK	26	26	38.7	Weighted median	0.00790	0.01056	0.454	NA	-0.00140	0.646	7.69e-04	0.00386	0.658	1.000	FALSE
REV_ADHD__Longchamps_2022	ADHD	Longchamps_2022	5e-08	OK	26	26	38.7	Robust adjusted profile score (RAPS)	0.01262	0.01071	0.239	NA	-0.00140	0.646	7.69e-04	0.00386	0.658	1.000	FALSE
REV_ADHD__Chong_2022	ADHD	Chong_2022	5e-08	OK	26	26	38.7	Inverse variance weighted	0.01299	0.00931	0.163	0.036	-0.00213	0.527	0.070	NA	NA	1.000	FALSE
REV_ADHD__Chong_2022	ADHD	Chong_2022	5e-08	OK	26	26	38.7	MR Egger	0.04536	0.05119	0.386	0.031	-0.00213	0.527	0.070	NA	NA	1.000	FALSE
REV_ADHD__Chong_2022	ADHD	Chong_2022	5e-08	OK	26	26	38.7	Weighted median	0.00369	0.01145	0.747	NA	-0.00213	0.527	0.070	NA	NA	1.000	FALSE
REV_ADHD__Chong_2022	ADHD	Chong_2022	5e-08	OK	26	26	38.7	Robust adjusted profile score (RAPS)	0.01243	0.00990	0.209	NA	-0.00213	0.527	0.070	NA	NA	1.000	FALSE
REV_ADHD__Gupta_2023_raw	ADHD	Gupta_2023_raw	5e-08	OK	23	23	39	Inverse variance weighted	-0.00108	0.02013	0.957	2.46e-05	1.78889e-04	0.976	NA	-0.01264	0.510	1.000	FALSE
REV_ADHD__Gupta_2023_raw	ADHD	Gupta_2023_raw	5e-08	OK	23	23	39	MR Egger	-0.00370	0.08685	0.966	1.41e-05	1.78889e-04	0.976	NA	-0.01264	0.510	1.000	FALSE
REV_ADHD__Gupta_2023_raw	ADHD	Gupta_2023_raw	5e-08	OK	23	23	39	Weighted median	-0.02826	0.02091	0.177	NA	1.78889e-04	0.976	NA	-0.01264	0.510	1.000	FALSE
REV_ADHD__Gupta_2023_raw	ADHD	Gupta_2023_raw	5e-08	OK	23	23	39	Robust adjusted profile score (RAPS)	-0.00619	0.02026	0.760	NA	1.78889e-04	0.976	NA	-0.01264	0.510	1.000	FALSE
REV_ADHD__Gupta_2023_adj	ADHD	Gupta_2023_adj	5e-08	OK	23	23	39	Inverse variance weighted	0.00406	0.01829	0.824	9.40e-04	0.00178	0.736	0.001	NA	NA	1.000	FALSE
REV_ADHD__Gupta_2023_adj	ADHD	Gupta_2023_adj	5e-08	OK	23	23	39	MR Egger	-0.02207	0.07867	0.782	6.45e-04	0.00178	0.736	0.001	NA	NA	1.000	FALSE
REV_ADHD__Gupta_2023_adj	ADHD	Gupta_2023_adj	5e-08	OK	23	23	39	Weighted median	-0.01239	0.02012	0.538	NA	0.00178	0.736	0.001	NA	NA	1.000	FALSE
REV_ADHD__Gupta_2023_adj	ADHD	Gupta_2023_adj	5e-08	OK	23	23	39	Robust adjusted profile score (RAPS)	0.00713	0.01951	0.715	NA	0.00178	0.736	0.001	NA	NA	1.000	FALSE
REV_ASD__Longchamps_2022	ASD	Longchamps_2022	1e-05	OK	53	53	22.7	Inverse variance weighted	-0.00213	0.00444	0.632	0.903	-4.57960e-04	0.648	0.697	NA	NA	1.000	FALSE
REV_ASD__Longchamps_2022	ASD	Longchamps_2022	1e-05	OK	53	53	22.7	MR Egger	0.00234	0.01068	0.828	0.888	-4.57960e-04	0.648	0.697	NA	NA	1.000	FALSE
REV_ASD__Longchamps_2022	ASD	Longchamps_2022	1e-05	OK	53	53	22.7	Weighted median	-0.00308	0.00606	0.612	NA	-4.57960e-04	0.648	0.697	NA	NA	1.000	FALSE
REV_ASD__Longchamps_2022	ASD	Longchamps_2022	1e-05	OK	53	53	22.7	Robust adjusted profile score (RAPS)	-0.00251	0.00472	0.595	NA	-4.57960e-04	0.648	0.697	NA	NA	1.000	FALSE
REV_ASD__Chong_2022	ASD	Chong_2022	1e-05	OK	54	54	22.7	Inverse variance weighted	0.00346	0.00444	0.435	0.755	-0.00168	0.101	0.558	NA	NA	1.000	FALSE
REV_ASD__Chong_2022	ASD	Chong_2022	1e-05	OK	54	54	22.7	MR Egger	0.01979	0.01074	0.072	0.818	-0.00168	0.101	0.558	NA	NA	1.000	FALSE
REV_ASD__Chong_2022	ASD	Chong_2022	1e-05	OK	54	54	22.7	Weighted median	0.00309	0.00623	0.619	NA	-0.00168	0.101	0.558	NA	NA	1.000	FALSE
REV_ASD__Chong_2022	ASD	Chong_2022	1e-05	OK	54	54	22.7	Robust adjusted profile score (RAPS)	0.00284	0.00474	0.548	NA	-0.00168	0.101	0.558	NA	NA	1.000	FALSE
REV_ASD__Gupta_2023_raw	ASD	Gupta_2023_raw	1e-05	OK	48	48	22.5	Inverse variance weighted	-0.00651	0.00830	0.433	0.225	-8.28847e-04	0.658	0.184	NA	NA	1.000	FALSE
REV_ASD__Gupta_2023_raw	ASD	Gupta_2023_raw	1e-05	OK	48	48	22.5	MR Egger	0.00148	0.01979	0.941	0.201	-8.28847e-04	0.658	0.184	NA	NA	1.000	FALSE
