Outcome	n_studies	Pooled_IVW_beta	Pooled_IVW_SE	Pooled_IVW_p	CI95_lower	CI95_upper	Cochran_Q	Q_p	I2_pct	tau2	Longchamps_2022_beta	Longchamps_2022_SE	Longchamps_2022_p	Longchamps_2022_nIV	Chong_2022_beta	Chong_2022_SE	Chong_2022_p	Chong_2022_nIV	Gupta_2023_raw_beta	Gupta_2023_raw_SE	Gupta_2023_raw_p	Gupta_2023_raw_nIV	Gupta_2023_adj_beta	Gupta_2023_adj_SE	Gupta_2023_adj_p	Gupta_2023_adj_nIV
BD-noUKBB	4	0.0591	0.0322	0.066	-0.0040	0.1221	3.856	0.277	23.63	9.86073e-04	0.1268	0.0559	0.023	78	0.0998	0.0763	0.191	56	0.0509	0.0460	0.268	63	-0.0193	0.0545	0.722	41
MDD-noUKBB	4	0.0163	0.0263	0.535	-0.0353	0.0680	1.033	0.793	0.00e+00	0.00000e+00	0.0440	0.0537	0.412	85	0.0603	0.0716	0.400	55	4.6373e-04	0.0438	0.992	65	-0.0098	0.0514	0.849	43
BPD-noUKBB	4	-0.0704	0.0481	0.144	-0.1648	0.0239	0.326	0.955	0.00e+00	0.00000e+00	-0.0325	0.0979	0.740	59	-0.0697	0.1320	0.598	35	-0.1021	0.0783	0.193	47	-0.0596	0.0968	0.538	33
