factor	factor_label	n_studies	pooled_beta	pooled_se	pooled_p	CI95_low	CI95_high	Q	Q_p	I2_pct	tau2
PFactor	pFactor (general psychopathology)	4	0.00239470706259063	0.00726041339883649	0.741527906801747	-0.0118354417120009	0.0166248558371822	1.03652210190742	0.792415642103713	0	0
F1	F1 (compulsive)	4	-0.00244603833200696	0.0225637048838089	0.913673735371992	-0.046670087262063	0.041778010598049	2.30185419930754	0.512165784682942	0	0
F2	F2 (schizo-bipolar)	4	0.0050876218723786	0.0206789055133142	0.805659355780446	-0.035442288173424	0.0456175319181812	1.81045456668533	0.612662551805503	0	0
F3	F3 (neurodevelopmental)	4	-0.0866486979227542	0.019331741375867	7.38780527609324e-06	-0.124538214777896	-0.048759181067612	0.992914342897226	0.802966471285209	0	0
F4	F4 (internalizing)	4	0.00545748433046605	0.00777451318109344	0.482697125595455	-0.00978028150180902	0.0206952501627411	0.985436307785557	0.80477588131464	0	0
F5	F5 (substance/externalizing)	4	0.0251886686189016	0.013245992346231	0.0572225832197671	-0.000772999319204368	0.0511503365570075	3.7311358060493	0.291998442677944	21.7436887457249	0.000154637306935761
