### Supp Table 11A — Anchor-set (MitoCarta3_all_anchor) enrichment for 4 exposures + 3 outcomes
trait	role	NGENES	BETA	SE	P_one_sided	P_two_sided	N_FDR_sig_subpathways
Longchamps_2022	MITO_PW__OXPHOS_assembly_factors	67	0.0467	0.1288	3.5839e-01	0.765
Longchamps_2022	MITO_PW__Complex_I	56	-0.0424	0.1511	6.1056e-01	0.825
Longchamps_2022	MITO_PW__CI_subunits	35	0.0292	0.1997	4.4178e-01	0.769
Longchamps_2022	MITO_PW__CI_assembly_factors	21	-0.1382	0.2309	7.2523e-01	0.854
Longchamps_2022	MITO_PW__Complex_II	8	-0.5954	0.459	9.0268e-01	0.930
Longchamps_2022	MITO_PW__CII_subunits	4	-0.7576	0.6031	8.9546e-01	0.930
Longchamps_2022	MITO_PW__CII_assembly_factors	4	-0.3719	0.7077	7.0037e-01	0.854
Longchamps_2022	MITO_PW__Complex_III	15	0.067	0.2475	3.9326e-01	0.769
Longchamps_2022	MITO_PW__CIII_subunits	9	-0.0559	0.3045	5.7287e-01	0.825
Longchamps_2022	MITO_PW__CIII_assembly_factors	6	0.3066	0.425	2.3534e-01	0.765
Longchamps_2022	MITO_PW__Complex_IV	47	0.1071	0.1445	2.2924e-01	0.765
Longchamps_2022	MITO_PW__CIV_subunits	17	0.0572	0.2373	4.0485e-01	0.769
Longchamps_2022	MITO_PW__CIV_assembly_factors	30	0.1365	0.1821	2.2679e-01	0.765
Longchamps_2022	MITO_PW__Complex_V	24	-0.1655	0.2311	7.6309e-01	0.869
Longchamps_2022	MITO_PW__CV_subunits	19	-0.2237	0.2535	8.1121e-01	0.899
Longchamps_2022	MITO_PW__CV_assembly_factors	5	0.12	0.5615	4.1536e-01	0.769
Longchamps_2022	MITO_PW__Respirasome_assembly	4	0.9444	0.5987	5.7362e-02	0.625
Longchamps_2022	MITO_PW__Metabolism	437	0.0368	0.0499	2.3054e-01	0.765
Longchamps_2022	MITO_PW__Carbohydrate_metabolism	69	0.0932	0.125	2.2811e-01	0.765
Longchamps_2022	MITO_PW__Gluconeogenesis	8	0.4369	0.3748	1.2186e-01	0.676
Longchamps_2022	MITO_PW__Malate_aspartate_shuttle	6	0.8576	0.4464	2.7363e-02	0.506
Longchamps_2022	MITO_PW__Pyruvate_metabolism	13	-0.3889	0.2752	9.2114e-01	0.930
Longchamps_2022	MITO_PW__TCA_cycle	19	0.2108	0.2626	2.1117e-01	0.765
Longchamps_2022	MITO_PW__TCA_associated	14	0.0998	0.2652	3.5332e-01	0.765
Longchamps_2022	MITO_PW__Itaconate_metabolism	6	0.4639	0.4553	1.5412e-01	0.676
Longchamps_2022	MITO_PW__Ketone_metabolism	8	-0.1671	0.3177	7.0057e-01	0.854
Longchamps_2022	MITO_PW__Propanoate_metabolism	4	0.2814	0.7303	3.5000e-01	0.765
Longchamps_2022	MITO_PW__Lipid_metabolism	118	0.1085	0.0961	1.2956e-01	0.676
Longchamps_2022	MITO_PW__Fatty_acid_oxidation	42	0.2279	0.1565	7.2704e-02	0.676
Longchamps_2022	MITO_PW__Type_II_fatty_acid_synthesis	8	-0.4763	0.3326	9.2393e-01	0.930
Longchamps_2022	MITO_PW__Lipoate_insertion	4	0.3215	0.4569	2.4083e-01	0.765
Longchamps_2022	MITO_PW__Cardiolipin_synthesis	15	0.6554	0.2677	7.1733e-03	0.506
Longchamps_2022	MITO_PW__Cholesterol_bile_acid_steroid_synthesis	13	0.2333	0.2901	2.1060e-01	0.765
Longchamps_2022	MITO_PW__Cholesterol_associated	2	-0.1453	0.609	5.9430e-01	0.825
Longchamps_2022	MITO_PW__Phospholipid_metabolism	23	0.2398	0.2128	1.2998e-01	0.676
Longchamps_2022	MITO_PW__Eicosanoid_metabolism	3	-0.9912	0.7427	9.0898e-01	0.930
Longchamps_2022	MITO_PW__Amino_acid_metabolism	84	0.005	0.114	4.8252e-01	0.802
Longchamps_2022	MITO_PW__Branched_chain_amino_acid_metabolism	24	0.1389	0.2483	2.8799e-01	0.765
Longchamps_2022	MITO_PW__Branched_chain_amino_acid_dehydrogenase_complex	6	0.9586	0.5108	3.0277e-02	0.506
Longchamps_2022	MITO_PW__Lysine_metabolism	16	0.0418	0.2473	4.3290e-01	0.769
Longchamps_2022	MITO_PW__Serine_metabolism	5	-0.205	0.4849	6.6374e-01	0.845
Longchamps_2022	MITO_PW__Glycine_metabolism	15	-0.1552	0.2566	7.2743e-01	0.854
Longchamps_2022	MITO_PW__Glycine_cleavage_system	4	0.5295	0.5234	1.5587e-01	0.676
Longchamps_2022	MITO_PW__Glutamate_metabolism	7	0.3695	0.4033	1.7979e-01	0.735
Longchamps_2022	MITO_PW__Proline_metabolism	6	-0.3464	0.3192	8.6102e-01	0.926
Longchamps_2022	MITO_PW__Glyoxylate_metabolism	8	-0.2853	0.3926	7.6628e-01	0.869
Longchamps_2022	MITO_PW__GABA_metabolism	6	-0.0141	0.4381	5.1281e-01	0.815
Longchamps_2022	MITO_PW__Kynurenine_metabolism	3	0.8257	0.6359	9.7062e-02	0.676
Longchamps_2022	MITO_PW__Urea_cycle	5	0.0494	0.3717	4.4718e-01	0.769
Longchamps_2022	MITO_PW__Nucleotide_metabolism	38	-0.0471	0.1559	6.1884e-01	0.825
Longchamps_2022	MITO_PW__Nucleotide_import	8	-0.4828	0.3451	9.1910e-01	0.930
Longchamps_2022	MITO_PW__Nucleotide_synthesis_and_processing	24	0.0504	0.2078	4.0414e-01	0.769
Longchamps_2022	MITO_PW__Creatine_metabolism	4	0.1307	0.3398	3.5023e-01	0.765
Longchamps_2022	MITO_PW__Metals_and_cofactors	116	0.021	0.099	4.1612e-01	0.769
Longchamps_2022	MITO_PW__Carnitine_synthesis_and_transport	5	0.5952	0.4718	1.0358e-01	0.676
Longchamps_2022	MITO_PW__Carnitine_shuttle	5	0.5952	0.4718	1.0358e-01	0.676
Longchamps_2022	MITO_PW__Coenzyme_A_metabolism	5	0.1902	0.4133	3.2267e-01	0.765
Longchamps_2022	MITO_PW__Coenzyme_Q_metabolism	13	-0.2547	0.293	8.0763e-01	0.899
Longchamps_2022	MITO_PW__Copper_metabolism	7	0.331	0.351	1.7286e-01	0.727
Longchamps_2022	MITO_PW__Iron_homeostasis	5	0.1824	0.4816	3.5247e-01	0.765
Longchamps_2022	MITO_PW__Heme_synthesis_and_processing	13	-0.0919	0.306	6.1806e-01	0.825
Longchamps_2022	MITO_PW__Fe_S_cluster_biosynthesis	22	0.1006	0.225	3.2744e-01	0.765
Longchamps_2022	MITO_PW__Molybdenum_cofactor_synthesis_and_proteins	4	0.3655	0.7608	3.1546e-01	0.765
Longchamps_2022	MITO_PW__NAD_biosynthesis_and_metabolism	14	-0.217	0.2908	7.7217e-01	0.869
Longchamps_2022	MITO_PW__Tetrahydrobiopterin_synthesis	3	0.2873	0.7432	3.4953e-01	0.765
Longchamps_2022	MITO_PW__Fe_S_containing_proteins	31	-0.0539	0.2129	5.9989e-01	0.825
Longchamps_2022	MITO_PW__Heme_containing_proteins	11	0.0004	0.3125	4.9953e-01	0.807
Longchamps_2022	MITO_PW__Vitamin_metabolism	49	0.0442	0.1496	3.8374e-01	0.769
Longchamps_2022	MITO_PW__Choline_and_betaine_metabolism	7	-0.5187	0.3862	9.1037e-01	0.930
Longchamps_2022	MITO_PW__Biotin_utilizing_proteins	5	0.0881	0.4989	4.2994e-01	0.769
Longchamps_2022	MITO_PW__Vitamin_A_metabolism	5	-0.0743	0.4473	5.6596e-01	0.825
Longchamps_2022	MITO_PW__Vitamin_B2_metabolism	3	-1.2752	0.8147	9.4123e-01	0.941
Longchamps_2022	MITO_PW__Vitamin_B6_metabolism	2	-0.0908	0.5856	5.6163e-01	0.825
Longchamps_2022	MITO_PW__Vitamin_B12_metabolism	4	-0.0826	0.5435	5.6037e-01	0.825
Longchamps_2022	MITO_PW__Vitamin_C_metabolism	2	-0.2936	0.7407	6.5406e-01	0.843
Longchamps_2022	MITO_PW__Vitamin_D_metabolism	4	0.3894	0.629	2.6791e-01	0.765
Longchamps_2022	MITO_PW__Folate_and_1_C_metabolism	21	0.14	0.2307	2.7195e-01	0.765
Longchamps_2022	MITO_PW__Detoxification	48	0.0178	0.1463	4.5147e-01	0.769
Longchamps_2022	MITO_PW__Xenobiotic_metabolism	21	-0.1677	0.2269	7.7012e-01	0.869
Longchamps_2022	MITO_PW__ROS_and_glutathione_metabolism	26	0.028	0.2052	4.4569e-01	0.769
Longchamps_2022	MITO_PW__Amidoxime_reducing_complex	4	0.874	0.6194	7.9144e-02	0.676
Longchamps_2022	MITO_PW__Selenoproteins	5	0.8778	0.4506	2.5721e-02	0.506
Longchamps_2022	MITO_PW__Electron_carriers	14	-0.096	0.2958	6.2721e-01	0.825
Longchamps_2022	MITO_PW__Cytochromes	3	0.42	0.5335	2.1560e-01	0.765
Longchamps_2022	MITO_PW__Q_linked_reactions_other	11	-0.3246	0.3552	8.1959e-01	0.902
Longchamps_2022	MITO_PW__Sulfur_metabolism	10	-0.0865	0.3548	5.9634e-01	0.825
Longchamps_2022	MITO_PW__Small_molecule_transport	76	0.0795	0.1231	2.5934e-01	0.765
Longchamps_2022	MITO_PW__SLC25A_family	45	0.1731	0.1593	1.3861e-01	0.676
Longchamps_2022	MITO_PW__ABC_transporters	6	-0.0769	0.3591	5.8480e-01	0.825
Longchamps_2022	MITO_PW__Sideroflexins	5	-0.1519	0.462	6.2885e-01	0.825
Longchamps_2022	MITO_PW__Calcium_uniporter	6	-0.3217	0.4863	7.4585e-01	0.867
Longchamps_2022	MITO_PW__Signaling	45	0.0598	0.1584	3.5287e-01	0.765
Longchamps_2022	MITO_PW__Calcium_homeostasis	22	0.1311	0.2395	2.9206e-01	0.765
Longchamps_2022	MITO_PW__Calcium_cycle	9	0.0716	0.3591	4.2098e-01	0.769
Longchamps_2022	MITO_PW__Mitochondrial_permeability_transition_pore	5	-0.1269	0.5095	5.9835e-01	0.825
Longchamps_2022	MITO_PW__EF_hand_proteins	11	0.5583	0.301	3.1826e-02	0.506
Longchamps_2022	MITO_PW__Immune_response	5	-0.5582	0.4992	8.6823e-01	0.927
Longchamps_2022	MITO_PW__cAMP_PKA_signaling	6	0.0018	0.4616	4.9849e-01	0.807
Longchamps_2022	MITO_PW__Mitochondrial_dynamics_and_surveillance	96	0.1678	0.1054	5.5807e-02	0.625
Longchamps_2022	MITO_PW__Fusion	9	0.851	0.3242	4.3406e-03	0.506
Longchamps_2022	MITO_PW__Fission	15	0.0972	0.2631	3.5591e-01	0.765
Longchamps_2022	MITO_PW__Organelle_contact_sites	12	0.1576	0.3156	3.0873e-01	0.765
Longchamps_2022	MITO_PW__Intramitochondrial_membrane_interactions	9	-0.4086	0.417	8.3641e-01	0.906
Longchamps_2022	MITO_PW__Trafficking	5	0.2181	0.5056	3.3312e-01	0.765
Longchamps_2022	MITO_PW__Mitophagy	13	0.1528	0.3009	3.0583e-01	0.765
Longchamps_2022	MITO_PW__Autophagy	17	-0.0124	0.2566	5.1933e-01	0.816
Longchamps_2022	MITO_PW__Apoptosis	34	0.2582	0.1671	6.1161e-02	0.625
Longchamps_2022	MITO_PW__Cristae_formation	9	-0.075	0.3204	5.9250e-01	0.825
Longchamps_2022	MITO_PW__MICOS_complex	5	-0.252	0.4186	7.2643e-01	0.854
Chong_2022	MITO_PW__Mitochondrial_central_dogma	229	-0.0487	0.064	7.7666e-01	0.933
Chong_2022	MITO_PW__mtDNA_maintenance	31	0.3312	0.1768	3.0516e-02	0.657
Chong_2022	MITO_PW__mtDNA_replication	14	0.5239	0.26	2.1947e-02	0.657
Chong_2022	MITO_PW__mtDNA_nucleoid	11	0.3909	0.3023	9.8008e-02	0.761
Chong_2022	MITO_PW__mtDNA_repair	9	0.2437	0.3213	2.2412e-01	0.761
Chong_2022	MITO_PW__mtDNA_stability_and_decay	3	2.0484	0.8602	8.6361e-03	0.617
Chong_2022	MITO_PW__mtRNA_metabolism	74	0.0389	0.1142	3.6684e-01	0.832
Chong_2022	MITO_PW__Transcription	8	0.3915	0.3388	1.2394e-01	0.761
Chong_2022	MITO_PW__mtRNA_granules	27	-0.0752	0.1788	6.6294e-01	0.884
Chong_2022	MITO_PW__Polycistronic_mtRNA_processing	12	-0.2318	0.2883	7.8938e-01	0.933
Chong_2022	MITO_PW__mt_tRNA_modifications	20	0.2213	0.2141	1.5072e-01	0.761
Chong_2022	MITO_PW__mt_rRNA_modifications	17	0.17	0.2648	2.6046e-01	0.767
Chong_2022	MITO_PW__mt_mRNA_modifications	4	-1.0117	0.5013	9.7820e-01	0.985
Chong_2022	MITO_PW__mtRNA_stability_and_decay	17	0.0709	0.2423	3.8485e-01	0.832
Chong_2022	MITO_PW__Translation	155	-0.1198	0.0773	9.3956e-01	0.960
Chong_2022	MITO_PW__Mitochondrial_ribosome	83	-0.1965	0.1089	9.6447e-01	0.978
Chong_2022	MITO_PW__Mitochondrial_ribosome_assembly	24	0.0184	0.1727	4.5768e-01	0.844
Chong_2022	MITO_PW__Translation_factors	16	-0.1251	0.2552	6.8796e-01	0.884
Chong_2022	MITO_PW__mt_tRNA_synthetases	22	-0.187	0.1862	8.4235e-01	0.937
Chong_2022	MITO_PW__fMet_processing	3	-0.6226	0.8434	7.6981e-01	0.933
Chong_2022	MITO_PW__Protein_import_sorting_and_homeostasis	82	0.1189	0.1089	1.3736e-01	0.761
Chong_2022	MITO_PW__Protein_import_and_sorting	45	0.1105	0.1613	2.4669e-01	0.761
Chong_2022	MITO_PW__TOM	9	0.8209	0.335	7.1387e-03	0.617
Chong_2022	MITO_PW__SAM	3	-1.0358	0.7397	9.1929e-01	0.956
Chong_2022	MITO_PW__MIA40	2	0.2659	1.2367	4.1487e-01	0.832
Chong_2022	MITO_PW__TIM22_carrier_pathway	3	-0.506	0.6594	7.7853e-01	0.933
Chong_2022	MITO_PW__TIM23_presequence_pathway	5	-0.0817	0.4656	5.6967e-01	0.849
Chong_2022	MITO_PW__Import_motor	6	0.0702	0.4232	4.3413e-01	0.832
Chong_2022	MITO_PW__Preprotein_cleavage	8	0.0439	0.3498	4.5011e-01	0.844
Chong_2022	MITO_PW__Protein_homeostasis	49	0.1283	0.1349	1.7087e-01	0.761
Chong_2022	MITO_PW__Proteases	28	0.2485	0.166	6.7230e-02	0.726
Chong_2022	MITO_PW__Chaperones	14	0.0141	0.327	4.8280e-01	0.846
Chong_2022	MITO_PW__OXPHOS	151	0.013	0.0803	4.3565e-01	0.832
Chong_2022	MITO_PW__OXPHOS_subunits	85	-0.014	0.1046	5.5329e-01	0.849
Chong_2022	MITO_PW__OXPHOS_assembly_factors	67	0.0505	0.124	3.4207e-01	0.815
Chong_2022	MITO_PW__Complex_I	56	0.0306	0.1295	4.0652e-01	0.832
Chong_2022	MITO_PW__CI_subunits	35	0.1086	0.1611	2.5012e-01	0.761
Chong_2022	MITO_PW__CI_assembly_factors	21	-0.1117	0.2176	6.9613e-01	0.884
Chong_2022	MITO_PW__Complex_II	8	0.1828	0.379	3.1481e-01	0.815
Chong_2022	MITO_PW__CII_subunits	4	0.5274	0.4722	1.3202e-01	0.761
Chong_2022	MITO_PW__CII_assembly_factors	4	-0.4407	0.6351	7.5613e-01	0.932
Chong_2022	MITO_PW__Complex_III	15	-0.038	0.2493	5.6058e-01	0.849
Chong_2022	MITO_PW__CIII_subunits	9	-0.3131	0.2947	8.5597e-01	0.937
Chong_2022	MITO_PW__CIII_assembly_factors	6	0.6536	0.4672	8.0950e-02	0.761
Chong_2022	MITO_PW__Complex_IV	47	0.0338	0.1487	4.1009e-01	0.832
Chong_2022	MITO_PW__CIV_subunits	17	-0.0912	0.245	6.4509e-01	0.879
Chong_2022	MITO_PW__CIV_assembly_factors	30	0.1067	0.1871	2.8427e-01	0.767
Chong_2022	MITO_PW__Complex_V	24	-0.0924	0.1947	6.8254e-01	0.884
Chong_2022	MITO_PW__CV_subunits	19	-0.1484	0.2257	7.4458e-01	0.926
Chong_2022	MITO_PW__CV_assembly_factors	5	0.0702	0.3847	4.2760e-01	0.832
Chong_2022	MITO_PW__Respirasome_assembly	4	0.7568	0.4837	5.8849e-02	0.726
Chong_2022	MITO_PW__Metabolism	437	0.0403	0.0479	1.9975e-01	0.761
Chong_2022	MITO_PW__Carbohydrate_metabolism	69	0.1005	0.1197	2.0053e-01	0.761
Chong_2022	MITO_PW__Gluconeogenesis	8	-0.3462	0.3112	8.6702e-01	0.937
Chong_2022	MITO_PW__Malate_aspartate_shuttle	6	-0.0458	0.359	5.5075e-01	0.849
Chong_2022	MITO_PW__Pyruvate_metabolism	13	-0.1111	0.2532	6.6961e-01	0.884
Chong_2022	MITO_PW__TCA_cycle	19	0.2008	0.223	1.8394e-01	0.761
Chong_2022	MITO_PW__TCA_associated	14	0.0673	0.2559	3.9632e-01	0.832
Chong_2022	MITO_PW__Itaconate_metabolism	6	-0.0961	0.4478	5.8498e-01	0.849
Chong_2022	MITO_PW__Ketone_metabolism	8	-0.3115	0.3515	8.1221e-01	0.937
Chong_2022	MITO_PW__Propanoate_metabolism	4	0.498	0.5477	1.8163e-01	0.761
Chong_2022	MITO_PW__Lipid_metabolism	118	0.0498	0.0963	3.0250e-01	0.801
Chong_2022	MITO_PW__Fatty_acid_oxidation	42	0.1377	0.1693	2.0793e-01	0.761
Chong_2022	MITO_PW__Type_II_fatty_acid_synthesis	8	-0.0855	0.3055	6.1022e-01	0.873
Chong_2022	MITO_PW__Lipoate_insertion	4	0.4624	0.4001	1.2393e-01	0.761
Chong_2022	MITO_PW__Cardiolipin_synthesis	15	0.1496	0.2581	2.8107e-01	0.767
Chong_2022	MITO_PW__Cholesterol_bile_acid_steroid_synthesis	13	0.2527	0.2624	1.6770e-01	0.761
Chong_2022	MITO_PW__Cholesterol_associated	2	-1.6793	1.3836	8.8756e-01	0.940
Chong_2022	MITO_PW__Phospholipid_metabolism	23	-0.0141	0.2023	5.2774e-01	0.849
Chong_2022	MITO_PW__Eicosanoid_metabolism	3	-0.789	0.7192	8.6367e-01	0.937
Chong_2022	MITO_PW__Amino_acid_metabolism	84	0.0175	0.1089	4.3616e-01	0.832
Chong_2022	MITO_PW__Branched_chain_amino_acid_metabolism	24	-0.2368	0.2453	8.3288e-01	0.937
Chong_2022	MITO_PW__Branched_chain_amino_acid_dehydrogenase_complex	6	0.1471	0.4885	3.8164e-01	0.832
